"year","rank","male","female"
1960,60,"Fikret","Hamide"
1960,61,"Hikmet","Güllü"
1960,62,"Aydın","Nuray"
1960,63,"Yüksel","Rahime"
1960,64,"Sami","Saliha"
1960,65,"Emin","Huriye"
1960,66,"İlhan","Semra"
1960,67,"Cengiz","Nuran"
1960,68,"Remzi","Melahat"
1960,69,"Halit","Nevin"
1960,70,"Veli","Gülay"
1960,71,"Kamil","Sebahat"
1960,72,"Nuri","Seher"
1960,73,"Sabri","Arife"
1960,74,"Bilal","Meral"
1960,75,"Enver","Saadet"
1960,76,"Hayrettin","Serpil"
1960,77,"Faruk","Zübeyde"
1960,78,"İlyas","Yıldız"
1960,79,"Haydar","Fikriye"
1960,80,"Sedat","Yüksel"
1960,81,"Halil İbrahim","Hediye"
1960,82,"İsa","Elmas"
1960,83,"Sadık","Feride"
1960,84,"Cafer","Nebahat"
1960,85,"Burhan","Rukiye"
1960,86,"Hasan Hüseyin","Nazife"
1960,87,"Turan","Dudu"
1960,88,"Veysel","Songül"
1960,89,"Zafer","Semiha"
1960,90,"Sebahattin","Ayfer"
1960,91,"Şahin","Kıymet"
1960,92,"Tahsin","Nimet"
1960,93,"Durmuş","Bedriye"
1960,94,"Aziz","Esma"
1960,95,"Niyazi","Cennet"
1960,96,"Bülent","Tülay"
1960,97,"Necdet","Rabia"
1960,98,"Fahrettin","Medine"
1960,99,"Kazım","Şükriye"
1960,100,"Mesut","Zahide"
1970,1,"Mehmet","Fatma"
1970,2,"Mustafa","Ayşe"
1970,3,"Ahmet","Emine"
1970,4,"Ali","Hatice"
1970,5,"Hüseyin","Hülya"
1970,6,"Murat","Zeynep"
1970,7,"Hasan","Aynur"
1970,8,"İsmail","Aysel"
1970,9,"İbrahim","Meryem"
1970,10,"Ramazan","Sevim"
1970,11,"Osman","Leyla"
1970,12,"Metin","Fadime"
1970,13,"Ömer","Filiz"
1970,14,"Yusuf","Hacer"
1970,15,"Süleyman","Songül"
1970,16,"Halil","Selma"
1970,17,"Abdullah","Sultan"
1970,18,"Ayhan","Ayten"
1970,19,"Yaşar","Hanife"
1970,20,"Adem","Nuray"
1970,21,"Recep","Havva"
1970,22,"Yılmaz","Sevgi"
1970,23,"Mahmut","Şerife"
1970,24,"Erol","Gülay"
1970,25,"Kemal","Türkan"
1970,26,"Orhan","Dilek"
1970,27,"Cengiz","Yasemin"
1970,28,"Hakan","Serpil"
1970,29,"Salih","Elif"
1970,30,"Erdal","Nurten"
1970,31,"Bayram","Kadriye"
1970,32,"Ercan","Zeliha"
1970,33,"Aydın","Şükran"
1970,34,"Kadir","Nuran"
1970,35,"Bülent","Gönül"
1970,36,"Yüksel","Reyhan"
1970,37,"Musa","Cemile"
1970,38,"Nihat","Melek"
1970,39,"Mesut","Zehra"
1970,40,"Bekir","Şengül"
1970,41,"Mehmet Ali","Nurcan"
1970,42,"Cemal","Ayfer"
1970,43,"Kenan","Semra"
1970,44,"Zeki","Yıldız"
1970,45,"Erkan","Tülay"
1970,46,"Yakup","Güler"
1970,47,"Erdoğan","Asiye"
1970,48,"Şaban","Gülten"
1970,49,"İlhan","Meral"
1970,50,"Sedat","Halime"
1970,51,"Selahattin","Sema"
1970,52,"Ekrem","Döndü"
1970,53,"Arif","Nermin"
1970,54,"İsa","Necla"
1970,55,"Uğur","Hayriye"
1970,56,"İrfan","Birgül"
1970,57,"Adnan","Saniye"
1970,58,"Muharrem","Gülcan"
1970,59,"Nurettin","Hava"
1970,60,"İsmet","Keziban"
1970,61,"Celal","Zübeyde"
1970,62,"Levent","Gülsüm"
1970,63,"Dursun","Arzu"
1970,64,"Muzaffer","Yeter"
1970,65,"Çetin","İlknur"
1970,66,"Fatih","Nuriye"
1970,67,"Özcan","Seher"
1970,68,"Şahin","Neriman"
1970,69,"Fikret","Özlem"
1970,70,"Şükrü","Gülşen"
1970,71,"Bilal","Gülseren"
1970,72,"Abdurrahman","Nurgül"
1970,73,"Faruk","Remziye"
1970,74,"Şenol","Saliha"
1970,75,"Nevzat","Naciye"
1970,76,"Vedat","Hamide"
1970,77,"Emin","Zekiye"
1970,78,"Tuncay","Nesrin"
1970,79,"Nuri","Perihan"
1970,80,"Muammer","Nilgün"
1970,81,"Veysel","Hanım"
1970,82,"Selim","Rukiye"
1970,83,"İhsan","Saadet"
1970,84,"Muhammet","Canan"
1970,85,"Turan","Güllü"
1970,86,"Kamil","Ayşegül"
1970,87,"Cemil","Safiye"
1970,88,"Sinan","Nazmiye"
1970,89,"Harun","Huriye"
1970,90,"Necati","Sevda"
1970,91,"Engin","Nevin"
1970,92,"Hikmet","Münevver"
1970,93,"Birol","Serap"
1970,94,"Burhan","Medine"
1970,95,"Yavuz","Birsen"
1970,96,"Mevlüt","Arife"
1970,97,"Oktay","Feride"
1970,98,"Veli","Sibel"
1970,99,"Erhan","Aysun"
1970,100,"Cevdet","Rahime"
1980,1,"Mehmet","Fatma"
1980,2,"Mustafa","Ayşe"
1980,3,"Murat","Emine"
1980,4,"Ahmet","Hatice"
1980,5,"Ali","Zeynep"
1980,6,"Serkan","Özlem"
1980,7,"Hüseyin","Sibel"
1980,8,"Hasan","Dilek"
1980,9,"İbrahim","Elif"
1980,10,"Fatih","Yasemin"
1980,11,"İsmail","Filiz"
1980,12,"Ramazan","Songül"
1980,13,"Hakan","Meryem"
1980,14,"Ömer","Arzu"
1980,15,"Adem","Hülya"
1980,16,"Osman","Derya"
1980,17,"Erkan","Nurcan"
1980,18,"Yusuf","Çiğdem"
1980,19,"Serdar","Selma"
1980,20,"Abdullah","Leyla"
1980,21,"Halil","Sultan"
1980,22,"Süleyman","Aynur"
1980,23,"Özgür","Hacer"
1980,24,"Orhan","Sevgi"
1980,25,"Metin","Serap"
1980,26,"Kenan","Pınar"
1980,27,"Mahmut","Serpil"
1980,28,"Sinan","Aysel"
1980,29,"Gökhan","Melek"
1980,30,"Ercan","Nuray"
1980,31,"Engin","Ayşegül"
1980,32,"Erhan","Esra"
1980,33,"Kadir","Zehra"
1980,34,"Ayhan","Fadime"
1980,35,"Mesut","Semra"
1980,36,"Recep","Havva"
1980,37,"Uğur","Meral"
1980,38,"Ümit","Neslihan"
1980,39,"Sedat","Yeliz"
1980,40,"Salih","Gülay"
1980,41,"Kemal","Emel"
1980,42,"Yılmaz","Sevda"
1980,43,"Harun","Şerife"
1980,44,"Erdal","Gülcan"
1980,45,"Bayram","Hanife"
1980,46,"Volkan","Sevim"
1980,47,"Barış","Zeliha"
1980,48,"Yasin","Aslı"
1980,49,"Ferhat","Canan"
1980,50,"Cengiz","Ebru"
1980,51,"Aydın","İlknur"
1980,52,"Erol","Halime"
1980,53,"Levent","Tülay"
1980,54,"Yaşar","Selda"
1980,55,"Bülent","Ayten"
1980,56,"Musa","Aysun"
1980,57,"Mehmet Ali","Yıldız"
1980,58,"Özkan","Kadriye"
1980,59,"İsa","Gönül"
1980,60,"Muhammet","Burcu"
1980,61,"Yunus","Ayfer"
1980,62,"Emre","Sema"
1980,63,"Yakup","Şükran"
1980,64,"Tuncay","Rukiye"
1980,65,"Bekir","Cemile"
1980,66,"Selçuk","Türkan"
1980,67,"Bilal","Seher"
1980,68,"Ersin","Mehtap"
1980,69,"Zafer","Gülşen"
1980,70,"Ferdi","Gülsüm"
1980,71,"Yavuz","Şengül"
1980,72,"Onur","Deniz"
1980,73,"İlhan","Tuğba"
1980,74,"Arif","Asiye"
1980,75,"Faruk","Necla"
1980,76,"Deniz","Nurgül"
1980,77,"Nihat","Gülten"
1980,78,"Özcan","Nihal"
1980,79,"Selim","Nurten"
1980,80,"Soner","Şenay"
1980,81,"Vedat","Zübeyde"
1980,82,"Emrah","Esma"
1980,83,"Cemil","Güler"
1980,84,"Şenol","Birgül"
1980,85,"Muharrem","Döndü"
1980,86,"İlker","Medine"
1980,87,"Abdurrahman","Keziban"
1980,88,"İrfan","Remziye"
1980,89,"Cemal","Yeter"
1980,90,"Suat","Perihan"
1980,91,"Turgay","Öznur"
1980,92,"Tarık","Hayriye"
1980,93,"Ekrem","Neşe"
1980,94,"Cem","Suna"
1980,95,"Oktay","Reyhan"
1980,96,"Erdem","Nermin"
1980,97,"Alper","Hava"
1980,98,"Taner","Nilüfer"
1980,99,"Çetin","Mine"
1980,100,"Umut","Saliha"
1981,1,"Mehmet","Fatma"
1981,2,"Mustafa","Ayşe"
1981,3,"Murat","Emine"
1981,4,"Ahmet","Hatice"
1981,5,"Ali","Zeynep"
1981,6,"Hüseyin","Özlem"
1981,7,"Hasan","Elif"
1981,8,"Fatih","Dilek"
1981,9,"Serkan","Yasemin"
1981,10,"İbrahim","Songül"
1981,11,"İsmail","Filiz"
1981,12,"Ramazan","Sibel"
1981,13,"Hakan","Derya"
1981,14,"Ömer","Meryem"
1981,15,"Adem","Hülya"
1981,16,"Osman","Arzu"
1981,17,"Kenan","Nurcan"
1981,18,"Yusuf","Leyla"
1981,19,"Erkan","Esra"
1981,20,"Abdullah","Selma"
1981,21,"Serdar","Hacer"
1981,22,"Halil","Pınar"
1981,23,"Gökhan","Çiğdem"
1981,24,"Süleyman","Sultan"
1981,25,"Orhan","Serpil"
1981,26,"Mahmut","Aynur"
1981,27,"Erhan","Melek"
1981,28,"Ercan","Zehra"
1981,29,"Metin","Neslihan"
1981,30,"Kadir","Sevgi"
1981,31,"Recep","Ayşegül"
1981,32,"Özgür","Serap"
1981,33,"Sinan","Aysel"
1981,34,"Engin","Semra"
1981,35,"Uğur","Fadime"
1981,36,"Mesut","Emel"
1981,37,"Volkan","Havva"
1981,38,"Yasin","Nuray"
1981,39,"Sedat","Meral"
1981,40,"Ayhan","Gülay"
1981,41,"Ümit","Sevda"
1981,42,"Bayram","Şerife"
1981,43,"Ferhat","Canan"
1981,44,"Erdal","Hanife"
1981,45,"Kemal","Gülcan"
1981,46,"Harun","Zeliha"
1981,47,"Salih","Sevim"
1981,48,"Aydın","Burcu"
1981,49,"Yılmaz","Ebru"
1981,50,"Emre","Yeliz"
1981,51,"İsa","İlknur"
1981,52,"Cengiz","Tuğba"
1981,53,"Barış","Halime"
1981,54,"Musa","Aysun"
1981,55,"Yunus","Sema"
1981,56,"Mehmet Ali","Ayten"
1981,57,"Özkan","Gönül"
1981,58,"Selçuk","Selda"
1981,59,"Erol","Rukiye"
1981,60,"Muhammet","Yıldız"
1981,61,"Onur","Tülay"
1981,62,"Yaşar","Cemile"
1981,63,"Ersin","Kadriye"
1981,64,"Yakup","Aslı"
1981,65,"Levent","Ayfer"
1981,66,"Tuncay","Şükran"
1981,67,"Bilal","Seher"
1981,68,"Bekir","Türkan"
1981,69,"Emrah","Mehtap"
1981,70,"Zafer","Zübeyde"
1981,71,"Ferdi","Gülsüm"
1981,72,"Soner","Gülşen"
1981,73,"Bülent","Asiye"
1981,74,"Özcan","Deniz"
1981,75,"Yavuz","Gülten"
1981,76,"Faruk","Nurgül"
1981,77,"Selim","Birgül"
1981,78,"Erdem","Esma"
1981,79,"Evren","Necla"
1981,80,"Nihat","Nurten"
1981,81,"İlhan","Şengül"
1981,82,"Arif","Medine"
1981,83,"Vedat","Nihal"
1981,84,"Cihan","Güler"
1981,85,"Abdurrahman","Tuba"
1981,86,"İlker","Öznur"
1981,87,"Suat","Neşe"
1981,88,"Taner","Keziban"
1981,89,"Turgay","Yeter"
1981,90,"İrfan","Remziye"
1981,91,"Serhat","Döndü"
1981,92,"Cemal","Perihan"
1981,93,"Şenol","Reyhan"
1981,94,"Ekrem","Seda"
1981,95,"Muharrem","Şenay"
1981,96,"Burhan","Sevil"
1981,97,"Cemil","Bahar"
1981,98,"Ufuk","Hayriye"
1981,99,"Çetin","Gülhan"
1981,100,"Deniz","Nesrin"
1982,1,"Mehmet","Fatma"
1982,2,"Mustafa","Ayşe"
1982,3,"Murat","Emine"
1982,4,"Ahmet","Hatice"
1982,5,"Ali","Özlem"
1982,6,"Hüseyin","Zeynep"
1982,7,"Fatih","Elif"
1982,8,"Hasan","Dilek"
1982,9,"İbrahim","Yasemin"
1982,10,"Serkan","Derya"
1982,11,"İsmail","Pınar"
