"year","rank","male","female"
1985,10,"Gökhan","Pınar"
1985,11,"İsmail","Derya"
1985,12,"Ramazan","Tuğba"
1985,13,"Ömer","Esra"
1985,14,"Serkan","Songül"
1985,15,"Emrah","Meryem"
1985,16,"Hakan","Hülya"
1985,17,"Yusuf","Çiğdem"
1985,18,"Osman","Seda"
1985,19,"Adem","Filiz"
1985,20,"Abdullah","Melek"
1985,21,"Emre","Semra"
1985,22,"Erkan","Zehra"
1985,23,"Yasin","Leyla"
1985,24,"Halil","Burcu"
1985,25,"Sinan","Sibel"
1985,26,"Mahmut","Ayşegül"
1985,27,"Süleyman","Ebru"
1985,28,"Onur","Arzu"
1985,29,"Kadir","Hacer"
1985,30,"Recep","Sultan"
1985,31,"Serdar","Nurcan"
1985,32,"Selçuk","Selma"
1985,33,"Ümit","Duygu"
1985,34,"Yunus","Sevgi"
1985,35,"Mesut","Tuba"
1985,36,"Sedat","Sevda"
1985,37,"Uğur","Neslihan"
1985,38,"Erdal","Seval"
1985,39,"Metin","Havva"
1985,40,"Orhan","Serpil"
1985,41,"Volkan","Emel"
1985,42,"Ercan","Serap"
1985,43,"Engin","Canan"
1985,44,"Ferhat","Merve"
1985,45,"Erhan","Aynur"
1985,46,"Kenan","Fadime"
1985,47,"Bayram","Aysel"
1985,48,"Harun","Bahar"
1985,49,"Salih","Rukiye"
1985,50,"Muhammet","Şerife"
1985,51,"Kemal","Zeliha"
1985,52,"Cihan","İlknur"
1985,53,"Özgür","Sema"
1985,54,"Burak","Gülşah"
1985,55,"Ersin","Aslı"
1985,56,"Musa","Nuray"
1985,57,"İsa","Gülay"
1985,58,"Mehmet Ali","Mehtap"
1985,59,"Yakup","Hanife"
1985,60,"Özkan","Eda"
1985,61,"Barış","Esma"
1985,62,"Soner","Deniz"
1985,63,"Samet","Gülcan"
1985,64,"Bilal","Halime"
1985,65,"Ayhan","Funda"
1985,66,"Aydın","Sevim"
1985,67,"Tuncay","Gönül"
1985,68,"İlyas","Meral"
1985,69,"Ufuk","Gülsüm"
1985,70,"Serhat","Betül"
1985,71,"Erdem","Seher"
1985,72,"Yaşar","Aysun"
1985,73,"Halil İbrahim","Gamze"
1985,74,"Bekir","Şükran"
1985,75,"Yılmaz","Kadriye"
1985,76,"Cengiz","Yeliz"
1985,77,"Selim","Öznur"
1985,78,"Arif","Cemile"
1985,79,"Zafer","Gülşen"
1985,80,"Okan","Sinem"
1985,81,"Erol","Demet"
1985,82,"Faruk","Hilal"
1985,83,"Vedat","Nurgül"
1985,84,"Şahin","Selda"
1985,85,"Burhan","Yıldız"
1985,86,"Fırat","Rabia"
1985,87,"İlhan","Ayfer"
1985,88,"Levent","Sevcan"
1985,89,"Sercan","Tülay"
1985,90,"Yavuz","Özge"
1985,91,"Deniz","Nazlı"
1985,92,"Alper","Ayten"
1985,93,"Abdurrahman","Türkan"
1985,94,"Özcan","Zübeyde"
1985,95,"Veysel","Medine"
1985,96,"Yalçın","Necla"
1985,97,"Taner","Kübra"
1985,98,"Ferdi","Asiye"
1985,99,"Oktay","Perihan"
1985,100,"İlker","Nihal"
1986,1,"Mehmet","Fatma"
1986,2,"Mustafa","Ayşe"
1986,3,"Murat","Emine"
1986,4,"Ahmet","Hatice"
1986,5,"Ali","Zeynep"
1986,6,"Emrah","Özlem"
1986,7,"Fatih","Elif"
1986,8,"Hüseyin","Derya"
1986,9,"Gökhan","Yasemin"
1986,10,"İbrahim","Dilek"
1986,11,"Hasan","Tuğba"
1986,12,"İsmail","Esra"
1986,13,"Ramazan","Pınar"
1986,14,"Ömer","Hülya"
1986,15,"Serkan","Songül"
1986,16,"Yusuf","Meryem"
1986,17,"Hakan","Çiğdem"
1986,18,"Osman","Zehra"
1986,19,"Adem","Semra"
1986,20,"Emre","Ayşegül"
1986,21,"Abdullah","Merve"
1986,22,"Yasin","Melek"
1986,23,"Erkan","Ebru"
1986,24,"Halil","Seda"
1986,25,"Recep","Burcu"
1986,26,"Uğur","Tuba"
1986,27,"Onur","Leyla"
1986,28,"Sinan","Duygu"
1986,29,"Kadir","Filiz"
1986,30,"Yunus","Sibel"
1986,31,"Mahmut","Gamze"
1986,32,"Süleyman","Neslihan"
1986,33,"Serdar","Selma"
1986,34,"Ümit","Sultan"
1986,35,"Mesut","Sevgi"
1986,36,"Orhan","Hacer"
1986,37,"Burak","Sevda"
1986,38,"Erhan","Arzu"
1986,39,"Erdal","Nurcan"
1986,40,"Volkan","Havva"
1986,41,"Metin","Bahar"
1986,42,"Sedat","Canan"
1986,43,"Ferhat","Serap"
1986,44,"Ercan","Emel"
1986,45,"Selçuk","Aynur"
1986,46,"Salih","Aysel"
1986,47,"Engin","Serpil"
1986,48,"Bayram","Rukiye"
1986,49,"Kenan","Fadime"
1986,50,"Muhammet","Zeliha"
1986,51,"Cihan","Gülşah"
1986,52,"Harun","Sema"
1986,53,"Kemal","Eda"
1986,54,"Özgür","İlknur"
1986,55,"Ersin","Şerife"
1986,56,"Barış","Deniz"
1986,57,"Mehmet Ali","Gülcan"
1986,58,"Samet","Esma"
1986,59,"İsa","Halime"
1986,60,"Yakup","Mehtap"
1986,61,"Musa","Kübra"
1986,62,"Bilal","Betül"
1986,63,"Aydın","Gülsüm"
1986,64,"Özkan","Nuray"
1986,65,"Serhat","Seher"
1986,66,"Soner","Gülay"
1986,67,"Ayhan","Hilal"
1986,68,"Okan","Hanife"
1986,69,"Erdem","Aslı"
1986,70,"Bekir","Rabia"
1986,71,"Şahin","Sevim"
1986,72,"Ufuk","Özge"
1986,73,"Faruk","Aysun"
1986,74,"İlyas","Nazlı"
1986,75,"Halil İbrahim","Öznur"
1986,76,"Fırat","Seval"
1986,77,"Burhan","Kadriye"
1986,78,"Tuncay","Şükran"
1986,79,"Yılmaz","Sinem"
1986,80,"Yaşar","Meral"
1986,81,"Arif","Gülşen"
1986,82,"Zafer","Yeliz"
1986,83,"Selim","Nihal"
1986,84,"Cengiz","Gönül"
1986,85,"Erol","Funda"
1986,86,"Yavuz","Didem"
1986,87,"Vedat","Nurgül"
1986,88,"Sercan","Yıldız"
1986,89,"Abdurrahman","Cemile"
1986,90,"Deniz","Selda"
1986,91,"Muhammed","Demet"
1986,92,"Veysel","Tülay"
1986,93,"Alper","Ayfer"
1986,94,"İlhan","Ayten"
1986,95,"Ekrem","Zübeyde"
1986,96,"Taner","Medine"
1986,97,"Özcan","Meltem"
1986,98,"Muharrem","Türkan"
1986,99,"Emin","Kader"
1986,100,"Abdulkadir","Necla"
1987,1,"Mehmet","Fatma"
1987,2,"Mustafa","Ayşe"
1987,3,"Ahmet","Emine"
1987,4,"Murat","Hatice"
1987,5,"Emrah","Zeynep"
1987,6,"Ali","Elif"
1987,7,"Fatih","Özlem"
1987,8,"Gökhan","Tuğba"
1987,9,"Hüseyin","Esra"
1987,10,"İbrahim","Yasemin"
1987,11,"Hasan","Dilek"
1987,12,"İsmail","Derya"
1987,13,"Uğur","Hülya"
1987,14,"Ramazan","Pınar"
1987,15,"Ömer","Merve"
1987,16,"Yusuf","Semra"
1987,17,"Hakan","Songül"
1987,18,"Emre","Meryem"
1987,19,"Osman","Zehra"
1987,20,"Serkan","Çiğdem"
1987,21,"Adem","Ayşegül"
1987,22,"Abdullah","Tuba"
1987,23,"Yasin","Ebru"
1987,24,"Onur","Burcu"
1987,25,"Recep","Duygu"
1987,26,"Halil","Leyla"
1987,27,"Kadir","Seda"
1987,28,"Sinan","Melek"
1987,29,"Yunus","Gamze"
1987,30,"Serdar","Sevda"
1987,31,"Mahmut","Sibel"
1987,32,"Süleyman","Sevgi"
1987,33,"Erkan","Neslihan"
1987,34,"Burak","Sultan"
1987,35,"Ümit","Filiz"
1987,36,"Mesut","Hacer"
1987,37,"Orhan","Arzu"
1987,38,"Erhan","Kübra"
1987,39,"Volkan","Selma"
1987,40,"Metin","Aysel"
1987,41,"Samet","Nurcan"
1987,42,"Ercan","Canan"
1987,43,"Muhammet","Havva"
1987,44,"Erdal","Emel"
1987,45,"Sedat","Serap"
1987,46,"Ferhat","Özge"
1987,47,"Cihan","Bahar"
1987,48,"Salih","Gülşah"
1987,49,"Ersin","Eda"
1987,50,"Bayram","İlknur"
1987,51,"Harun","Serpil"
1987,52,"Kemal","Rukiye"
1987,53,"Barış","Betül"
1987,54,"Özgür","Sema"
1987,55,"Selçuk","Hilal"
1987,56,"Mehmet Ali","Esma"
1987,57,"Engin","Zeliha"
1987,58,"Kenan","Aynur"
1987,59,"Yakup","Deniz"
1987,60,"Bilal","Fadime"
1987,61,"Musa","Şerife"
1987,62,"İsa","Gülcan"
1987,63,"Serhat","Sinem"
1987,64,"Okan","Gülsüm"
1987,65,"Özkan","Mehtap"
1987,66,"Aydın","Seher"
1987,67,"Şahin","Halime"
1987,68,"Sercan","Aslı"
1987,69,"Ufuk","Aysun"
1987,70,"Erdem","Sevim"
1987,71,"Selim","Melike"
1987,72,"Faruk","Nuray"
1987,73,"Soner","Hanife"
1987,74,"Ayhan","Meral"
1987,75,"Bekir","Rabia"
1987,76,"Erol","Gülay"
1987,77,"Burhan","Nazlı"
1987,78,"Veysel","Tülay"
1987,79,"Muhammed","Şeyma"
1987,80,"Halil İbrahim","Öznur"
1987,81,"Zafer","Kadriye"
1987,82,"Yavuz","Ceylan"
1987,83,"Cengiz","Yeliz"
1987,84,"İlyas","Şükran"
1987,85,"Tuncay","Demet"
1987,86,"Arif","Gülşen"
1987,87,"Yaşar","Nihal"
1987,88,"Yılmaz","Yıldız"
1987,89,"Fırat","Pelin"
1987,90,"Vedat","Funda"
1987,91,"Abdurrahman","Nurgül"
1987,92,"Doğan","Gönül"
1987,93,"Abdulkadir","Meltem"
1987,94,"Taner","Kader"
1987,95,"Semih","Cemile"
1987,96,"Alper","Selda"
1987,97,"Deniz","Sevil"
1987,98,"İlhan","Ayfer"
1987,99,"Umut","Medine"
1987,100,"Savaş","Didem"
1988,1,"Mehmet","Fatma"
1988,2,"Mustafa","Ayşe"
1988,3,"Murat","Emine"
1988,4,"Ahmet","Hatice"
1988,5,"Ali","Özlem"
1988,6,"Emrah","Elif"
1988,7,"Fatih","Zeynep"
1988,8,"Gökhan","Esra"
1988,9,"İbrahim","Tuğba"
1988,10,"Hüseyin","Merve"
1988,11,"Hasan","Yasemin"
1988,12,"Uğur","Hülya"
1988,13,"İsmail","Dilek"
1988,14,"Ramazan","Semra"
1988,15,"Ömer","Derya"
1988,16,"Emre","Pınar"
1988,17,"Hakan","Ebru"
1988,18,"Yusuf","Songül"
1988,19,"Osman","Burcu"
1988,20,"Serkan","Duygu"
1988,21,"Samet","Meryem"
1988,22,"Adem","Aysel"
1988,23,"Abdullah","Zehra"
1988,24,"Onur","Ayşegül"
1988,25,"Burak","Çiğdem"
1988,26,"Yasin","Tuba"
1988,27,"Yunus","Seda"
1988,28,"Kadir","Leyla"
1988,29,"Sinan","Kübra"
1988,30,"Halil","Melek"
1988,31,"Recep","Gamze"
1988,32,"Mesut","Sibel"
1988,33,"Süleyman","Sevgi"
1988,34,"Orhan","Sevda"
1988,35,"Erhan","Neslihan"
1988,36,"Erkan","Sultan"
1988,37,"Mahmut","Canan"
1988,38,"Ümit","Filiz"
1988,39,"Serdar","Arzu"
1988,40,"Ercan","Hacer"
1988,41,"Muhammet","Betül"
1988,42,"Metin","Eda"
1988,43,"Volkan","Selma"
1988,44,"Ferhat","Serap"
1988,45,"Cihan","Özge"
1988,46,"Salih","Gizem"
1988,47,"Sedat","Nurcan"
1988,48,"Bayram","Havva"
1988,49,"Özgür","Emel"
1988,50,"Harun","İlknur"
1988,51,"Okan","Esma"
1988,52,"Ersin","Sema"
1988,53,"Erdal","Bahar"
1988,54,"Kemal","Hilal"
1988,55,"Yakup","Gözde"
1988,56,"Barış","Pelin"
1988,57,"Engin","Sinem"
1988,58,"Mehmet Ali","Zeliha"
1988,59,"Bilal","Aynur"
1988,60,"Sercan","Şerife"
1988,61,"Musa","Serpil"
1988,62,"Selçuk","Gülsüm"
1988,63,"Şahin","Rukiye"
1988,64,"Özkan","Deniz"
1988,65,"Semih","Fadime"
1988,66,"İsa","Seher"
1988,67,"Rıdvan","Gülşah"
1988,68,"Soner","Melike"
1988,69,"Serhat","Meltem"
1988,70,"Selim","Mehtap"
1988,71,"Faruk","Ceylan"
1988,72,"Kenan","Aysun"
1988,73,"Ufuk","Halime"
1988,74,"Erdem","Tuğçe"
1988,75,"Muhammed","Şeyma"
1988,76,"Bekir","Nazlı"
1988,77,"Burhan","Aslı"
1988,78,"Aydın","Sevil"
1988,79,"Ayhan","Gülcan"
1988,80,"Deniz","Büşra"
1988,81,"Veysel","Didem"
1988,82,"Tolga","Tülay"
1988,83,"Halil İbrahim","Sevim"
1988,84,"Fırat","Nuray"
1988,85,"Taner","Rabia"
1988,86,"İlyas","Gülay"
1988,87,"Aykut","Hanife"
1988,88,"Yılmaz","Cansu"
1988,89,"Erol","Meral"
1988,90,"Doğan","Demet"
1988,91,"Arif","Şükran"
1988,92,"Cengiz","Yeliz"
1988,93,"Eren","Öznur"
1988,94,"Tuncay","Funda"
1988,95,"Zafer","Kadriye"
1988,96,"Yaşar","Gülşen"
1988,97,"Abdurrahman","Cemile"
1988,98,"Umut","Yıldız"
1988,99,"Vedat","Nurgül"
1988,100,"Yavuz","Selda"
1989,1,"Mehmet","Fatma"
1989,2,"Mustafa","Ayşe"
1989,3,"Murat","Emine"
1989,4,"Ahmet","Hatice"
1989,5,"Ali","Özlem"
1989,6,"Gökhan","Elif"
1989,7,"Uğur","Esra"
1989,8,"Fatih","Merve"
1989,9,"İbrahim","Tuğba"
1989,10,"Hüseyin","Zeynep"
1989,11,"Hasan","Yasemin"
1989,12,"Emrah","Hülya"
1989,13,"Ömer","Burcu"
1989,14,"Emre","Dilek"
1989,15,"İsmail","Gamze"
1989,16,"Hakan","Derya"
1989,17,"Ramazan","Ebru"
1989,18,"Yusuf","Semra"
1989,19,"Osman","Pınar"
1989,20,"Burak","Kübra"
1989,21,"Onur","Sibel"
1989,22,"Serkan","Duygu"
1989,23,"Rıdvan","Songül"
1989,24,"Yunus","Meryem"
1989,25,"Abdullah","Zehra"
1989,26,"Adem","Tuba"
1989,27,"Yasin","Çiğdem"
1989,28,"Kadir","Ayşegül"
1989,29,"Recep","Leyla"
1989,30,"Halil","Seda"
1989,31,"Samet","Melek"
1989,32,"Sinan","Sevda"
1989,33,"Mesut","Aysel"
1989,34,"Aykut","Neslihan"
1989,35,"Muhammet","Tuğçe"
1989,36,"Süleyman","Cansu"
1989,37,"Erhan","Bahar"
1989,38,"Ercan","Büşra"
1989,39,"Mahmut","Canan"
1989,40,"Orhan","Sultan"
1989,41,"Ümit","Sevgi"
1989,42,"Semih","Sinem"
1989,43,"Erkan","Arzu"
1989,44,"Ferhat","Betül"
1989,45,"Metin","Gizem"
1989,46,"Serdar","Özge"
1989,47,"Volkan","Meltem"
1989,48,"Özgür","Serap"
1989,49,"Cihan","Hacer"
1989,50,"Salih","Hilal"
1989,51,"Harun","Filiz"
1989,52,"Engin","Eda"
1989,53,"Bayram","Esma"
1989,54,"Tolga","Gözde"
1989,55,"Oğuz","Emel"
1989,56,"Sedat","Sema"
1989,57,"Bilal","Havva"
1989,58,"Barış","Aysun"
1989,59,"Sercan","Nurcan"
1989,60,"Serhat","Melike"
1989,61,"Yakup","Selma"
1989,62,"Mehmet Ali","Aynur"
1989,63,"Kemal","Gülcan"
1989,64,"Ersin","İlknur"
1989,65,"Muhammed","Zeliha"
1989,66,"İsa","Rukiye"
1989,67,"Musa","Gülsüm"
1989,68,"Kenan","Mehtap"
1989,69,"Özkan","Seher"
1989,70,"Şahin","Ceylan"
1989,71,"Selçuk","Gülşah"
1989,72,"Ufuk","Şerife"
1989,73,"Soner","Deniz"
1989,74,"Erdal","Halime"
1989,75,"Selim","Aslı"
1989,76,"Okan","Ezgi"
1989,77,"Burhan","Şeyma"
1989,78,"Faruk","Fadime"
1989,79,"Erdem","Serpil"
1989,80,"Fırat","Nuray"
1989,81,"Deniz","Pelin"
1989,82,"Doğan","Öznur"
1989,83,"Bekir","Nazlı"
1989,84,"Ayhan","Rabia"
1989,85,"Yunus Emre","Şükran"
1989,86,"Halil İbrahim","Selin"
1989,87,"Eren","Hanife"
1989,88,"Aydın","Sevim"
1989,89,"Erdi","Demet"
1989,90,"Oğuzhan","Kader"
1989,91,"Umut","Yeliz"
1989,92,"Abdulkadir","Meral"
1989,93,"İlyas","Gülşen"
1989,94,"Caner","Selda"
1989,95,"Taner","Tülay"
1989,96,"Veysel","Kadriye"
1989,97,"Yılmaz","Funda"
1989,98,"Enes","Cemile"
1989,99,"Yavuz","Yeşim"
1989,100,"Mert","Gülay"
1990,1,"Mehmet","Fatma"
1990,2,"Mustafa","Merve"
1990,3,"Ahmet","Ayşe"
1990,4,"Murat","Elif"
1990,5,"Ali","Emine"
1990,6,"Gökhan","Esra"
1990,7,"İbrahim","Hatice"
1990,8,"Hüseyin","Özlem"
1990,9,"Emre","Tuğba"
1990,10,"Fatih","Zeynep"
1990,11,"Uğur","Yasemin"
1990,12,"Ömer","Kübra"
1990,13,"Hasan","Özge"
1990,14,"Hakan","Sibel"
1990,15,"İsmail","Dilek"
1990,16,"Ramazan","Gamze"
1990,17,"Emrah","Hülya"
1990,18,"Yusuf","Burcu"
1990,19,"Burak","Duygu"
1990,20,"Onur","Ebru"
1990,21,"Osman","Derya"
1990,22,"Yunus","Büşra"
1990,23,"Yasin","Pınar"
1990,24,"Abdullah","Semra"
1990,25,"Rıdvan","Songül"
1990,26,"Serkan","Seda"
1990,27,"Adem","Meryem"
1990,28,"Kadir","Ayşegül"
1990,29,"Recep","Zehra"
1990,30,"Halil","Leyla"
1990,31,"Mesut","Tuba"
1990,32,"Semih","Çiğdem"
1990,33,"Muhammet","Bahar"
1990,34,"Sinan","Melek"
1990,35,"Samet","Betül"
1990,36,"Ferhat","Gizem"
1990,37,"Mahmut","Cansu"
1990,38,"Süleyman","Tuğçe"
1990,39,"Orhan","Neslihan"
1990,40,"Ümit","Serap"
1990,41,"Sercan","Aysel"
1990,42,"Metin","Canan"
1990,43,"Aykut","Sevda"
1990,44,"Erhan","Sultan"
1990,45,"Engin","Meltem"
1990,46,"Erkan","Eda"
1990,47,"Ercan","Sinem"
1990,48,"Serhat","Sevgi"
1990,49,"Tolga","Hilal"
1990,50,"Barış","Arzu"
1990,51,"Volkan","Ezgi"
1990,52,"Serdar","Esma"
1990,53,"Harun","Hacer"
1990,54,"Bayram","Gözde"
1990,55,"Oğuz","Ceylan"
1990,56,"Bilal","Şeyma"
1990,57,"Salih","Melike"
1990,58,"Cihan","Filiz"
1990,59,"Muhammed","Havva"
1990,60,"Sedat","İlknur"
1990,61,"Yakup","Rukiye"
1990,62,"Özgür","Sema"
1990,63,"Mehmet Ali","Aysun"
1990,64,"Mert","Gülsüm"
1990,65,"Tayfun","Emel"
1990,66,"Musa","Nurcan"
1990,67,"Ersin","Mehtap"
1990,68,"Kemal","Şerife"
1990,69,"İsa","Selma"
1990,70,"Şahin","Zeliha"
1990,71,"Enes","Halime"
1990,72,"Oğuzhan","Seher"
1990,73,"Faruk","Damla"
1990,74,"Yunus Emre","Aynur"
1990,75,"Erdi","Deniz"
1990,76,"Özkan","Nuray"
1990,77,"Soner","Serpil"
1990,78,"Halil İbrahim","Selin"
1990,79,"Erdem","Fadime"
1990,80,"Umut","Gülcan"
1990,81,"Anıl","Demet"
1990,82,"Cem","Aslı"
1990,83,"Ufuk","Nazlı"
1990,84,"Kenan","Rabia"
1990,85,"Deniz","Kader"
1990,86,"Fırat","Yeşim"
1990,87,"Okan","Gülşah"
1990,88,"Caner","Şükran"
1990,89,"Burhan","Yağmur"
1990,90,"Eren","Funda"
1990,91,"Selim","Mine"
1990,92,"Bekir","Hanife"
1990,93,"Doğan","Öznur"
1990,94,"Abdulkadir","Sevim"
1990,95,"Veysel","Pelin"
1990,96,"Erdal","Kadriye"
1990,97,"Selçuk","Meral"
1990,98,"Ayhan","Gülay"
1990,99,"Sefa","Tülay"
1990,100,"Arif","Ceren"
1991,1,"Mehmet","Fatma"
1991,2,"Mustafa","Merve"
1991,3,"Ahmet","Ayşe"
1991,4,"Murat","Elif"
1991,5,"Ali","Esra"
1991,6,"Emre","Emine"
1991,7,"Hüseyin","Hatice"
1991,8,"İbrahim","Zeynep"
1991,9,"Gökhan","Kübra"
1991,10,"Fatih","Tuğba"
1991,11,"Ömer","Özlem"
1991,12,"Hasan","Gamze"
1991,13,"Uğur","Özge"
1991,14,"Ramazan","Büşra"
1991,15,"İsmail","Yasemin"
1991,16,"Hakan","Sibel"
1991,17,"Yusuf","Dilek"
1991,18,"Burak","Ebru"
1991,19,"Emrah","Burcu"
1991,20,"Onur","Hülya"
1991,21,"Barış","Leyla"
1991,22,"Yunus","Derya"
1991,23,"Osman","Pınar"
1991,24,"Mesut","Duygu"
1991,25,"Abdullah","Seda"
1991,26,"Yasin","Cansu"
1991,27,"Muhammet","Meryem"
1991,28,"Serkan","Ayşegül"
1991,29,"Kadir","Gizem"
1991,30,"Adem","Bahar"
1991,31,"Rıdvan","Songül"
1991,32,"Sercan","Betül"
1991,33,"Sinan","Tuba"
1991,34,"Samet","Semra"
1991,35,"Recep","Melek"
1991,36,"Halil","Zehra"
1991,37,"Ferhat","Çiğdem"
1991,38,"Mahmut","Tuğçe"
1991,39,"Ümit","Meltem"
1991,40,"Süleyman","Neslihan"
1991,41,"Semih","Sevda"
1991,42,"Tolga","Canan"
1991,43,"Muhammed","Eda"
1991,44,"Orhan","Hilal"
1991,45,"Metin","Serap"
1991,46,"Yunus Emre","Yeşim"
1991,47,"Oğuzhan","Ezgi"
1991,48,"Anıl","Sultan"
1991,49,"Erkan","Sevgi"
1991,50,"Harun","Esma"
1991,51,"Enes","Sinem"
1991,52,"Salih","Arzu"
1991,53,"Volkan","Şeyma"
1991,54,"Serdar","Rabia"
1991,55,"Ercan","Aysel"
1991,56,"Serhat","Melike"
1991,57,"Sedat","Gözde"
1991,58,"Bayram","Hacer"
1991,59,"Cihan","Aslı"
1991,60,"Erhan","Ceylan"
1991,61,"Özgür","Demet"
1991,62,"Aykut","İlknur"
1991,63,"Engin","Rukiye"
1991,64,"Bilal","Filiz"
1991,65,"Yakup","Havva"
1991,66,"Oğuz","Seher"
1991,67,"Savaş","Sema"
1991,68,"Mehmet Ali","Gülsüm"
1991,69,"Mert","Damla"
1991,70,"Faruk","Nurcan"
1991,71,"Tayfun","Aysun"
1991,72,"Furkan","Zeliha"
1991,73,"Fırat","Deniz"
1991,74,"Musa","Aynur"
1991,75,"Umut","Halime"
1991,76,"Kemal","Yağmur"
1991,77,"Ersin","Emel"
1991,78,"Soner","Şerife"
1991,79,"İsa","Selma"
1991,80,"Halil İbrahim","Fadime"
1991,81,"Ufuk","Sümeyye"
1991,82,"Özkan","Nuray"
1991,83,"Caner","Serpil"
1991,84,"Ömer Faruk","Selin"
1991,85,"Cem","Gülcan"
1991,86,"Eren","Mehtap"
1991,87,"Erdem","Öznur"
1991,88,"Şahin","Şükran"
1991,89,"Abdulkadir","Nazlı"
1991,90,"Okan","Kader"
1991,91,"Sezer","Gülşah"
1991,92,"Selim","Dilan"
1991,93,"Vedat","Mine"
1991,94,"Sefa","Hanife"
1991,95,"Doğan","Kadriye"
1991,96,"Burhan","Sevim"
1991,97,"Taner","Pelin"
1991,98,"Kenan","İpek"
1991,99,"Selçuk","Funda"
1991,100,"Ozan","Aylin"
1992,1,"Mehmet","Fatma"
1992,2,"Mustafa","Merve"
1992,3,"Ahmet","Elif"
1992,4,"Murat","Ayşe"
1992,5,"Ali","Esra"
1992,6,"Emre","Emine"
1992,7,"İbrahim","Hatice"
1992,8,"Hüseyin","Kübra"
1992,9,"Ömer","Zeynep"
1992,10,"Fatih","Büşra"
1992,11,"Hasan","Tuğba"
1992,12,"Ramazan","Özlem"
1992,13,"Gökhan","Gamze"
1992,14,"İsmail","Yasemin"
1992,15,"Burak","Özge"
1992,16,"Uğur","Sibel"
1992,17,"Yusuf","Seda"
1992,18,"Hakan","Leyla"
1992,19,"Onur","Burcu"
1992,20,"Emrah","Ebru"
1992,21,"Abdullah","Dilek"
1992,22,"Yunus","Gizem"
1992,23,"Osman","Hülya"
1992,24,"Yasin","Derya"
1992,25,"Mesut","Ayşegül"
1992,26,"Sinan","Meryem"
1992,27,"Kadir","Bahar"
1992,28,"Muhammet","Pınar"
1992,29,"Serkan","Duygu"
1992,30,"Adem","Betül"
1992,31,"Recep","Songül"
1992,32,"Samet","Tuğçe"
1992,33,"Oğuzhan","Cansu"
1992,34,"Ferhat","Tuba"
1992,35,"Muhammed","Melek"
1992,36,"Halil","Zehra"
1992,37,"Ümit","Semra"
1992,38,"Süleyman","Hilal"
1992,39,"Mahmut","Rabia"
1992,40,"Rıdvan","Çiğdem"
1992,41,"Tolga","Eda"
1992,42,"Okan","Sevda"
1992,43,"Orhan","Şeyma"
1992,44,"Enes","Neslihan"
1992,45,"Barış","Sultan"
1992,46,"Semih","Ezgi"
1992,47,"Serhat","Esma"
1992,48,"Harun","Canan"
1992,49,"Erkan","Meltem"
1992,50,"Aykut","Sümeyye"
1992,51,"Sercan","Ceylan"
1992,52,"Volkan","Melike"
1992,53,"Metin","Gözde"
1992,54,"Salih","Sevgi"
1992,55,"Mert","Sinem"
1992,56,"Furkan","Serap"
1992,57,"Bayram","Yeşim"
1992,58,"Bilal","Arzu"
1992,59,"Yunus Emre","Aslı"
1992,60,"Ercan","Aysel"
1992,61,"Serdar","İlknur"
1992,62,"Fırat","Hacer"
1992,63,"Sezer","Rukiye"
1992,64,"Yakup","Dilan"
1992,65,"Erhan","Sema"
1992,66,"Cihan","Havva"
1992,67,"Mehmet Ali","Damla"
1992,68,"Özgür","Demet"
1992,69,"Vedat","Filiz"
1992,70,"Engin","Seher"
1992,71,"Sedat","Gülsüm"
1992,72,"Ozan","Yağmur"
1992,73,"Faruk","Nurcan"
1992,74,"Umut","Aysun"
1992,75,"Anıl","Zeliha"
1992,76,"Oğuz","Halime"
1992,77,"Musa","Nazlı"
1992,78,"Kemal","Şerife"
1992,79,"Soner","Fadime"
1992,80,"Ömer Faruk","Aynur"
1992,81,"Şahin","Gülşah"
1992,82,"Sefa","Selma"
1992,83,"Halil İbrahim","Deniz"
1992,84,"Eren","Selin"
1992,85,"İsa","Berivan"
1992,86,"Caner","Gülcan"
1992,87,"Özkan","Kader"
1992,88,"Ersin","Nuray"
1992,89,"Tayfun","Emel"
1992,90,"Ufuk","Öznur"
1992,91,"Abdulkadir","Şükran"
1992,92,"Doğan","Aslıhan"
1992,93,"Erdem","Serpil"
1992,94,"Burhan","İpek"
1992,95,"Cem","Pelin"
1992,96,"Hamza","Aylin"
1992,97,"Tugay","Mehtap"
1992,98,"Bekir","Funda"
1992,99,"Veysel","Kadriye"
1992,100,"Deniz","Ayşenur"
1993,1,"Mehmet","Merve"
1993,2,"Mustafa","Fatma"
1993,3,"Ahmet","Elif"
1993,4,"Emre","Ayşe"
1993,5,"Murat","Büşra"
1993,6,"Ali","Kübra"
1993,7,"İbrahim","Esra"
1993,8,"Ömer","Emine"
1993,9,"Hüseyin","Zeynep"
1993,10,"Hasan","Hatice"
1993,11,"Fatih","Tuğba"
1993,12,"Ramazan","Ebru"
1993,13,"Burak","Özlem"
1993,14,"Hakan","Gamze"
1993,15,"İsmail","Gizem"
1993,16,"Yusuf","Yasemin"
1993,17,"Uğur","Özge"
1993,18,"Emrah","Seda"
1993,19,"Gökhan","Sibel"
1993,20,"Okan","Leyla"
1993,21,"Onur","Burcu"
1993,22,"Abdullah","Dilek"
1993,23,"Yunus","Bahar"
1993,24,"Yasin","Derya"
1993,25,"Osman","Betül"
1993,26,"Sinan","Ayşegül"
